origin,year,unit,canada,mexico,us,s_cent_america,europe,cis,middle_east,africa,china,india,japan,south_korea,other_asia_pacific
Canada,2022,Exajoules,0,0.003528939,0.04053386,0.020376119,0.093136233,3.22174e-10,1.99966e-5,0.001066308,0.216690243,0.046238933,0.268444257,0.215203754,0.067201948
US,2022,Exajoules,0.134379949,0.015676943,0,0.239969311,0.891853041,3.85444e-6,0.003031515,0.15599006,0.122703928,0.287018123,0.257472252,0.127754205,0.010429473
Colombia,2022,Exajoules,0.026351951,0.010796379,0.099854478,0.380506068,0.808298241,0.00104533,0.118370948,0.016850519,0.010867811,0.011329808,0.036945603,0.047698205,0.019623263
Europe,2022,Exajoules,0.003067678,0.003384746,0.003074346,0.011710673,0,0.003455405,0.002760082,0.020725388,2.18013e-5,0.083238705,2.2077e-4,0.010036776,0.019020814
Russia,2022,Exajoules,0.008215437,0.005711064,0.007465398,0.076105905,1.480630648,0.038345721,0.012335604,0.141659693,1.79168194,0.371979891,0.306179318,0.706673356,0.408098756
Other CIS,2022,Exajoules,0,0,0,0.005119294,0.167194604,0.443387356,4.12603e-5,0.001614264,0.0047767,0.001727608,0.004035165,3.70691e-10,0.015161896
South Africa,2022,Exajoules,1.90352e-9,0,0.001166941,0.014787991,0.565198572,2.54404e-4,0.043245073,0.268643288,0.030128766,0.38603303,0.02628756,0.169811987,0.240635168
Other Africa,2022,Exajoules,3.8254e-6,0,5.09374e-5,0.015705616,0.05217096,0,0.010850002,0.08192197,0.00527425,0.17430708,0.005912768,0.042797228,0.011274695
Australia,2022,Exajoules,2.63665e-10,0.001057809,0.002066937,0.246085933,0.599659155,1.9678e-11,0.002977648,0.022628976,0.079462384,0.973799759,3.205292611,1.241153388,2.018488536
China,2022,Exajoules,3.96348e-5,0.006412028,0.00545501,0.031994652,0.032439264,9.18711e-4,0.005658249,0.007468792,0,0.024798596,0.036622188,0.021549081,0.143638694
Indonesia,2022,Exajoules,0,0,0.003231034,0.001552318,0.115005282,0,0.002614642,0.005813313,2.608536607,2.371932263,0.645967967,0.680334597,2.757172964
Mongolia,2022,Exajoules,0,0,0,0,4.48692e-6,3.93559e-7,0,0,0.867911249,0,0,1.9678e-10,0
Other Asia Pacific,2022,Exajoules,7.16242e-5,0.00128409,1.95964e-5,0.011167905,0.027132842,1.30657e-6,0.001328438,0.002195838,0.07421539,0.225957023,0.025452504,0.071466597,0
Rest of World,2022,Exajoules,2.35501e-4,0.001279006,0.001509164,0.014914076,0.034774455,1.7046e-6,0.01432435,4.21893e-5,0.016791547,0.04727273,3.96412e-4,0.008260544,0.008255102
